model;tipo;candidate;params;n_clusters;n_noise;silhouette;calinski_harabasz;davies_bouldin;inertia;bic;aic;rank
KMeans Clustering;KMeans;1;{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 2, 'n_init': 10};2;0;0.9813495372423453;2035.3882341889298;0.011456502953150843;11458.529278259644;;;1
KMeans Clustering;KMeans;2;{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 2, 'n_init': 20};2;0;0.9813495372423453;2035.3882341889298;0.011456502953150843;11458.529278259644;;;2
KMeans Clustering;KMeans;19;{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 2, 'n_init': 10};2;0;0.9813495372423453;2035.3882341889298;0.011456502953150843;11458.529278259644;;;3
KMeans Clustering;KMeans;20;{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 2, 'n_init': 20};2;0;0.9813495372423453;2035.3882341889298;0.011456502953150843;11458.529278259644;;;4
KMeans Clustering;KMeans;3;{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 3, 'n_init': 10};3;0;0.8670763948745953;1562.5951167607893;0.7163439591847293;8134.088830272625;;;5
KMeans Clustering;KMeans;4;{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 3, 'n_init': 20};3;0;0.8670763948745953;1562.5951167607893;0.7163439591847293;8134.088830272625;;;6
KMeans Clustering;KMeans;21;{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 3, 'n_init': 10};3;0;0.8670763948745953;1562.5951167607893;0.7163439591847293;8134.088830272625;;;7
KMeans Clustering;KMeans;22;{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 3, 'n_init': 20};3;0;0.8670763948745953;1562.5951167607893;0.7163439591847293;8134.088830272625;;;8
KMeans Clustering;KMeans;7;{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 5, 'n_init': 10};5;0;0.8577919825490107;1003.1934214773433;0.7553794607552933;6565.3741321032285;;;9
KMeans Clustering;KMeans;25;{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 5, 'n_init': 10};5;0;0.8577919825490107;1003.1934214773433;0.7553794607552933;6565.3741321032285;;;10
